!!SBtab Document='AKAP79' Version='1.0' TableName='EX11____0nM__TRUE___TRUE' TableType='QuantityMatrix'
!TimePoint	!Time	>AKAR4pOUT	~AKAR4pOUT
E0103T001	-15	100.78255	1
E0103T002	-10	 99.85282	1
E0103T003	 -5	 99.37197	1
E0103T004	  0	 97.61022	1
E0103T005	  5	 99.46098	1
E0103T006	 10	100.32852	1
E0103T007	 15	100.14967	1
E0103T008	 20	 99.61651	1
E0103T009	 25	100.47525	1
E0103T010	 30	100.47365	1
E0103T011	 35	100.84900	1
E0103T012	 40	 99.24383	1
E0103T013	 45	100.66327	1
E0103T014	 50	102.18145	1
E0103T015	 55	 98.82927	1
E0103T016	 60	100.81827	1
E0103T017	 65	100.35266	1
E0103T018	 70	 99.22876	1
E0103T019	 75	102.33903	1
E0103T020	 80	100.42347	1
E0103T021	 85	101.58557	1
E0103T022	 90	100.29033	1
E0103T023	 95	 99.60638	1
E0103T024	100	 99.09441	1
E0103T025	105	101.64120	1
E0103T026	110	100.73118	1
E0103T027	115	100.06086	1
E0103T028	120	 99.62842	1
E0103T029	125	 99.87697	1
E0103T030	130	101.54759	1
E0103T031	135	100.51302	1
E0103T032	140	101.52093	1
E0103T033	145	101.99812	1
E0103T034	150	101.31896	1
E0103T035	155	100.64646	1
E0103T036	160	 99.34021	1
E0103T037	165	 99.47736	1
E0103T038	170	100.33539	1
E0103T039	175	100.09746	1
E0103T040	180	102.27540	1
E0103T041	185	102.36587	1
E0103T042	190	 98.85315	1
E0103T043	195	 99.11927	1
E0103T044	200	 99.52337	1
E0103T045	205	 99.57915	1
E0103T046	210	100.90625	1
E0103T047	215	 99.60195	1
E0103T048	220	101.58859	1
E0103T049	225	100.14083	1
E0103T050	230	 99.80648	1
E0103T051	235	101.02400	1
E0103T052	240	102.28162	1
E0103T053	245	100.03979	1
E0103T054	250	 99.85501	1
E0103T055	255	100.72209	1
E0103T056	260	 99.60994	1
E0103T057	265	101.26519	1
E0103T058	270	100.50511	1
E0103T059	275	101.29356	1
E0103T060	280	100.04019	1
E0103T061	285	 99.23074	1
E0103T062	290	 99.58583	1
E0103T063	295	100.42151	1
E0103T064	300	100.74056	1
E0103T065	305	 99.81405	1
E0103T066	310	 99.70544	1
E0103T067	315	100.93889	1
E0103T068	320	100.14139	1
E0103T069	325	 99.99645	1
E0103T070	330	101.76429	1
E0103T071	335	102.20479	1
E0103T072	340	 99.10031	1
E0103T073	345	100.49739	1
E0103T074	350	100.56686	1
E0103T075	355	 99.88490	1
E0103T076	360	101.39215	1
E0103T077	365	 99.70902	1
E0103T078	370	101.22173	1
E0103T079	375	101.67504	1
E0103T080	380	100.41112	1
E0103T081	385	101.25293	1
E0103T082	390	100.20977	1
E0103T083	395	 98.84461	1
E0103T084	400	100.73585	1
E0103T085	405	100.62706	1
E0103T086	410	100.23895	1
E0103T087	415	 99.09379	1
E0103T088	420	 99.63038	1
E0103T089	425	102.39037	1
E0103T090	430	100.42906	1
E0103T091	435	100.48873	1
E0103T092	440	 99.36084	1
E0103T093	445	 98.06954	1
E0103T094	450	103.01145	1
E0103T095	455	100.58307	1
E0103T096	460	101.54350	1
E0103T097	465	102.23255	1
E0103T098	470	 99.11506	1
E0103T099	475	100.94858	1
E0103T100	480	100.64417	1
E0103T101	485	101.73647	1
E0103T102	490	102.09644	1
E0103T103	495	100.17021	1
E0103T104	500	101.51935	1
E0103T105	505	103.16701	1
E0103T106	510	101.06181	1
E0103T107	515	100.73441	1
E0103T108	520	101.21186	1
E0103T109	525	101.60986	1
E0103T110	530	100.13468	1
E0103T111	535	101.47381	1
E0103T112	540	 99.87705	1
E0103T113	545	100.59994	1
E0103T114	550	101.46733	1
E0103T115	555	101.20445	1
E0103T116	560	101.02553	1
E0103T117	565	101.33545	1
E0103T118	570	101.47060	1
E0103T119	575	100.56542	1
E0103T120	580	100.01504	1
E0103T121	585	 99.53373	1
E0103T122	590	 99.82228	1
E0103T123	595	100.35825	1
E0103T124	600	103.57281	1
E0103T125	605	100.87122	1
