!!SBtab Document='AKAP79' Version='1.0' TableName='EX12____0nM__TRUE__FALSE' TableType='QuantityMatrix'
!TimePoint	!Time	>AKAR4pOUT	~AKAR4pOUT
E0102T001	-15	 97.61630	1
E0102T002	-10	100.64287	1
E0102T003	 -5	100.20691	1
E0102T004	  0	101.49804	1
E0102T005	  5	100.49519	1
E0102T006	 10	100.86798	1
E0102T007	 15	 99.11640	1
E0102T008	 20	100.82322	1
E0102T009	 25	101.84503	1
E0102T010	 30	100.04427	1
E0102T011	 35	 98.67490	1
E0102T012	 40	 99.86881	1
E0102T013	 45	100.51058	1
E0102T014	 50	100.26707	1
E0102T015	 55	101.07700	1
E0102T016	 60	100.65237	1
E0102T017	 65	 99.71972	1
E0102T018	 70	100.79919	1
E0102T019	 75	 99.04529	1
E0102T020	 80	 98.61397	1
E0102T021	 85	 99.55431	1
E0102T022	 90	100.19664	1
E0102T023	 95	100.25392	1
E0102T024	100	100.58519	1
E0102T025	105	101.25532	1
E0102T026	110	 98.99990	1
E0102T027	115	101.38775	1
E0102T028	120	100.12635	1
E0102T029	125	101.86949	1
E0102T030	130	 99.59762	1
E0102T031	135	 98.73016	1
E0102T032	140	100.05325	1
E0102T033	145	 99.86724	1
E0102T034	150	100.42704	1
E0102T035	155	100.51869	1
E0102T036	160	 99.20150	1
E0102T037	165	100.66761	1
E0102T038	170	102.97522	1
E0102T039	175	 99.79390	1
E0102T040	180	101.13300	1
E0102T041	185	100.37272	1
E0102T042	190	 98.60038	1
E0102T043	195	101.17206	1
E0102T044	200	 99.22984	1
E0102T045	205	 99.56098	1
E0102T046	210	100.60608	1
E0102T047	215	 97.89914	1
E0102T048	220	 99.48721	1
E0102T049	225	100.46217	1
E0102T050	230	 99.78260	1
E0102T051	235	100.51545	1
E0102T052	240	101.16182	1
E0102T053	245	100.36743	1
E0102T054	250	 99.32368	1
E0102T055	255	101.01297	1
E0102T056	260	101.08040	1
E0102T057	265	 99.57005	1
E0102T058	270	101.48106	1
E0102T059	275	 99.22148	1
E0102T060	280	101.17879	1
E0102T061	285	 99.67612	1
E0102T062	290	 99.31309	1
E0102T063	295	101.16206	1
E0102T064	300	100.39688	1
E0102T065	305	100.37554	1
E0102T066	310	100.14463	1
E0102T067	315	100.93444	1
E0102T068	320	 99.57358	1
E0102T069	325	101.08777	1
E0102T070	330	102.40413	1
E0102T071	335	 99.72973	1
E0102T072	340	100.85765	1
E0102T073	345	 99.39995	1
E0102T074	350	100.09063	1
E0102T075	355	100.22145	1
E0102T076	360	 99.76172	1
E0102T077	365	 99.57163	1
E0102T078	370	101.45943	1
E0102T079	375	101.43909	1
E0102T080	380	 99.08343	1
E0102T081	385	 99.08478	1
E0102T082	390	101.49382	1
E0102T083	395	101.26982	1
E0102T084	400	 99.72641	1
E0102T085	405	 98.86115	1
E0102T086	410	101.87422	1
E0102T087	415	 99.95458	1
E0102T088	420	100.10604	1
E0102T089	425	100.85893	1
E0102T090	430	 98.35340	1
E0102T091	435	100.38156	1
E0102T092	440	100.36295	1
E0102T093	445	 99.25362	1
E0102T094	450	 99.64221	1
E0102T095	455	101.36852	1
E0102T096	460	101.55427	1
E0102T097	465	 99.83414	1
E0102T098	470	100.86874	1
E0102T099	475	 98.59986	1
E0102T100	480	100.71727	1
E0102T101	485	101.05575	1
E0102T102	490	 99.60760	1
E0102T103	495	101.90520	1
E0102T104	500	100.07554	1
E0102T105	505	101.53783	1
E0102T106	510	103.52112	1
E0102T107	515	101.99413	1
E0102T108	520	100.60586	1
E0102T109	525	101.24445	1
E0102T110	530	 99.42381	1
E0102T111	535	101.17168	1
E0102T112	540	100.22104	1
E0102T113	545	100.30313	1
E0102T114	550	101.70855	1
E0102T115	555	101.11357	1
E0102T116	560	101.66250	1
E0102T117	565	101.15770	1
E0102T118	570	101.16124	1
E0102T119	575	 99.08612	1
E0102T120	580	102.52728	1
E0102T121	585	101.43908	1
E0102T122	590	 99.03582	1
E0102T123	595	101.76600	1
E0102T124	600	101.10076	1
E0102T125	605	100.02863	1
