!!SBtab Document='AKAP79' Version='1.0' TableName='EX13____0nM_FALSE__FALSE' TableType='QuantityMatrix'
!TimePoint	!Time	>AKAR4pOUT	~AKAR4pOUT
E0101T001	-15	 99.36352	1
E0101T002	-10	 99.29383	1
E0101T003	 -5	100.46605	1
E0101T004	  0	 98.13064	1
E0101T005	  5	 99.66868	1
E0101T006	 10	 99.83447	1
E0101T007	 15	 98.62461	1
E0101T008	 20	 99.16239	1
E0101T009	 25	101.44265	1
E0101T010	 30	 99.74610	1
E0101T011	 35	100.30573	1
E0101T012	 40	 99.79359	1
E0101T013	 45	100.00378	1
E0101T014	 50	100.57130	1
E0101T015	 55	 99.58935	1
E0101T016	 60	100.53571	1
E0101T017	 65	100.54134	1
E0101T018	 70	 99.43676	1
E0101T019	 75	 99.60437	1
E0101T020	 80	 99.76756	1
E0101T021	 85	 99.57104	1
E0101T022	 90	101.13759	1
E0101T023	 95	101.80227	1
E0101T024	100	101.09993	1
E0101T025	105	101.16688	1
E0101T026	110	 99.72803	1
E0101T027	115	 99.41107	1
E0101T028	120	101.77437	1
E0101T029	125	101.85102	1
E0101T030	130	 99.18182	1
E0101T031	135	100.61899	1
E0101T032	140	101.32006	1
E0101T033	145	101.16925	1
E0101T034	150	 99.16058	1
E0101T035	155	100.97891	1
E0101T036	160	100.54591	1
E0101T037	165	 99.64971	1
E0101T038	170	 98.85038	1
E0101T039	175	100.63860	1
E0101T040	180	101.69670	1
E0101T041	185	100.91311	1
E0101T042	190	101.79060	1
E0101T043	195	102.16077	1
E0101T044	200	101.05986	1
E0101T045	205	100.47079	1
E0101T046	210	 99.65031	1
E0101T047	215	100.70828	1
E0101T048	220	 99.22111	1
E0101T049	225	100.78561	1
E0101T050	230	100.67839	1
E0101T051	235	100.34404	1
E0101T052	240	101.11538	1
E0101T053	245	 99.27675	1
E0101T054	250	 97.73086	1
E0101T055	255	101.02299	1
E0101T056	260	 98.98532	1
E0101T057	265	 97.94617	1
E0101T058	270	101.21092	1
E0101T059	275	 99.89253	1
E0101T060	280	101.17389	1
E0101T061	285	 98.17882	1
E0101T062	290	102.44400	1
E0101T063	295	 99.42209	1
E0101T064	300	 99.95985	1
E0101T065	305	 99.38781	1
E0101T066	310	 98.96421	1
E0101T067	315	100.07201	1
E0101T068	320	 99.72229	1
E0101T069	325	 99.95873	1
E0101T070	330	 99.49263	1
E0101T071	335	 99.55717	1
E0101T072	340	100.72417	1
E0101T073	345	 99.82448	1
E0101T074	350	101.19719	1
E0101T075	355	100.90288	1
E0101T076	360	101.06019	1
E0101T077	365	 98.27051	1
E0101T078	370	 98.99718	1
E0101T079	375	 99.96872	1
E0101T080	380	 99.74468	1
E0101T081	385	 99.39398	1
E0101T082	390	100.68634	1
E0101T083	395	100.02928	1
E0101T084	400	100.45765	1
E0101T085	405	 98.54206	1
E0101T086	410	 99.95015	1
E0101T087	415	 98.58361	1
E0101T088	420	100.73129	1
E0101T089	425	 98.77032	1
E0101T090	430	 99.33323	1
E0101T091	435	 98.50068	1
E0101T092	440	100.78804	1
E0101T093	445	100.78746	1
E0101T094	450	 98.26185	1
E0101T095	455	 97.55479	1
E0101T096	460	 99.75048	1
E0101T097	465	100.36863	1
E0101T098	470	 97.99337	1
E0101T099	475	 99.50442	1
E0101T100	480	101.74803	1
E0101T101	485	 99.37440	1
E0101T102	490	 99.76961	1
E0101T103	495	 98.78178	1
E0101T104	500	100.65663	1
E0101T105	505	100.22305	1
E0101T106	510	 99.65647	1
E0101T107	515	 99.57826	1
E0101T108	520	100.80784	1
E0101T109	525	 98.92090	1
E0101T110	530	100.16357	1
E0101T111	535	100.50834	1
E0101T112	540	 97.93923	1
E0101T113	545	100.34259	1
E0101T114	550	100.73916	1
E0101T115	555	101.25957	1
E0101T116	560	102.02245	1
E0101T117	565	101.40395	1
E0101T118	570	 97.98190	1
E0101T119	575	100.45440	1
E0101T120	580	 98.82130	1
E0101T121	585	 98.40901	1
E0101T122	590	 99.36570	1
E0101T123	595	100.19213	1
E0101T124	600	100.02459	1
E0101T125	605	102.45500	1
