!!SBtab Document='AKAP79' Version='1.0' TableName='EX31__200nM__TRUE___TRUE' TableType='QuantityMatrix'
!TimePoint	!Time	>AKAR4pOUT	~AKAR4pOUT
E0403T001	-15	112.0159	1
E0403T002	-10	114.7963	1
E0403T003	 -5	117.5407	1
E0403T004	  0	120.2587	1
E0403T005	  5	122.0514	1
E0403T006	 10	126.6883	1
E0403T007	 15	129.8178	1
E0403T008	 20	130.7298	1
E0403T009	 25	132.6139	1
E0403T010	 30	134.3117	1
E0403T011	 35	137.0528	1
E0403T012	 40	139.3357	1
E0403T013	 45	138.6480	1
E0403T014	 50	144.4164	1
E0403T015	 55	143.9342	1
E0403T016	 60	144.2835	1
E0403T017	 65	146.2293	1
E0403T018	 70	147.9414	1
E0403T019	 75	148.5523	1
E0403T020	 80	150.9284	1
E0403T021	 85	151.7234	1
E0403T022	 90	153.7037	1
E0403T023	 95	154.3784	1
E0403T024	100	154.4221	1
E0403T025	105	157.2234	1
E0403T026	110	157.6534	1
E0403T027	115	157.7262	1
E0403T028	120	159.4927	1
E0403T029	125	158.5860	1
E0403T030	130	161.6309	1
E0403T031	135	161.5412	1
E0403T032	140	159.8682	1
E0403T033	145	160.9073	1
E0403T034	150	160.5805	1
E0403T035	155	162.3100	1
E0403T036	160	160.8762	1
E0403T037	165	165.9584	1
E0403T038	170	165.5742	1
E0403T039	175	164.7833	1
E0403T040	180	163.7216	1
E0403T041	185	165.1850	1
E0403T042	190	163.7090	1
E0403T043	195	165.8726	1
E0403T044	200	166.9767	1
E0403T045	205	166.6310	1
E0403T046	210	165.7734	1
E0403T047	215	166.3290	1
E0403T048	220	167.7824	1
E0403T049	225	167.7659	1
E0403T050	230	168.3961	1
E0403T051	235	167.9688	1
E0403T052	240	167.7350	1
E0403T053	245	167.5846	1
E0403T054	250	167.1335	1
E0403T055	255	167.7156	1
E0403T056	260	169.5985	1
E0403T057	265	168.9144	1
E0403T058	270	171.1413	1
E0403T059	275	167.5034	1
E0403T060	280	168.6741	1
E0403T061	285	168.7198	1
E0403T062	290	169.7056	1
E0403T063	295	171.2513	1
E0403T064	300	170.9225	1
E0403T065	305	168.8087	1
E0403T066	310	170.0628	1
E0403T067	315	170.4842	1
E0403T068	320	170.1262	1
E0403T069	325	169.7504	1
E0403T070	330	170.0032	1
E0403T071	335	171.6858	1
E0403T072	340	171.6045	1
E0403T073	345	169.5745	1
E0403T074	350	170.5763	1
E0403T075	355	171.2764	1
E0403T076	360	171.4590	1
E0403T077	365	171.1887	1
E0403T078	370	170.3095	1
E0403T079	375	169.7204	1
E0403T080	380	170.3016	1
E0403T081	385	171.3239	1
E0403T082	390	170.4991	1
E0403T083	395	170.9182	1
E0403T084	400	170.8909	1
E0403T085	405	171.0529	1
E0403T086	410	170.1272	1
E0403T087	415	170.4939	1
E0403T088	420	171.0639	1
E0403T089	425	168.5974	1
E0403T090	430	170.7405	1
E0403T091	435	172.2804	1
E0403T092	440	171.0361	1
E0403T093	445	169.4486	1
E0403T094	450	169.8782	1
E0403T095	455	171.8742	1
E0403T096	460	171.4877	1
E0403T097	465	172.7297	1
E0403T098	470	170.9793	1
E0403T099	475	173.9826	1
E0403T100	480	170.6081	1
E0403T101	485	171.0123	1
E0403T102	490	172.3003	1
E0403T103	495	171.5617	1
E0403T104	500	172.5660	1
E0403T105	505	171.4340	1
E0403T106	510	171.4675	1
E0403T107	515	170.9685	1
E0403T108	520	172.2362	1
E0403T109	525	171.9303	1
E0403T110	530	170.9084	1
E0403T111	535	171.3249	1
E0403T112	540	172.1012	1
E0403T113	545	172.4689	1
E0403T114	550	170.6460	1
E0403T115	555	171.3827	1
E0403T116	560	171.2555	1
E0403T117	565	172.5864	1
E0403T118	570	171.4331	1
E0403T119	575	171.6492	1
E0403T120	580	171.1635	1
E0403T121	585	171.1692	1
E0403T122	590	172.0371	1
E0403T123	595	173.0233	1
E0403T124	600	172.7194	1
E0403T125	605	171.8719	1
