!!SBtab Document='AKAP79' Version='1.0' TableName='EX32__200nM__TRUE__FALSE' TableType='QuantityMatrix'
!TimePoint	!Time	>AKAR4pOUT	~AKAR4pOUT
E0402T001	-15	107.4873	1
E0402T002	-10	111.1372	1
E0402T003	 -5	114.0996	1
E0402T004	  0	117.4295	1
E0402T005	  5	118.7340	1
E0402T006	 10	120.0378	1
E0402T007	 15	122.9968	1
E0402T008	 20	124.5687	1
E0402T009	 25	124.8988	1
E0402T010	 30	127.5351	1
E0402T011	 35	129.1719	1
E0402T012	 40	130.2450	1
E0402T013	 45	133.5600	1
E0402T014	 50	133.3027	1
E0402T015	 55	136.5269	1
E0402T016	 60	136.8101	1
E0402T017	 65	139.5046	1
E0402T018	 70	139.3480	1
E0402T019	 75	141.4721	1
E0402T020	 80	143.6241	1
E0402T021	 85	144.0614	1
E0402T022	 90	146.1255	1
E0402T023	 95	145.4310	1
E0402T024	100	148.4187	1
E0402T025	105	148.1330	1
E0402T026	110	149.3774	1
E0402T027	115	149.8265	1
E0402T028	120	152.4073	1
E0402T029	125	151.9056	1
E0402T030	130	153.1942	1
E0402T031	135	153.5032	1
E0402T032	140	155.7066	1
E0402T033	145	154.1253	1
E0402T034	150	156.2417	1
E0402T035	155	156.5566	1
E0402T036	160	157.0856	1
E0402T037	165	156.9244	1
E0402T038	170	156.3942	1
E0402T039	175	157.2640	1
E0402T040	180	158.2241	1
E0402T041	185	159.1544	1
E0402T042	190	159.7671	1
E0402T043	195	159.2995	1
E0402T044	200	159.7839	1
E0402T045	205	162.2320	1
E0402T046	210	162.3508	1
E0402T047	215	163.2993	1
E0402T048	220	162.8612	1
E0402T049	225	162.6252	1
E0402T050	230	164.8663	1
E0402T051	235	163.4982	1
E0402T052	240	163.4612	1
E0402T053	245	166.5068	1
E0402T054	250	163.8639	1
E0402T055	255	165.9630	1
E0402T056	260	166.0057	1
E0402T057	265	165.7656	1
E0402T058	270	166.8034	1
E0402T059	275	166.7314	1
E0402T060	280	166.7892	1
E0402T061	285	165.5037	1
E0402T062	290	166.1552	1
E0402T063	295	167.1347	1
E0402T064	300	166.5384	1
E0402T065	305	166.2042	1
E0402T066	310	167.0190	1
E0402T067	315	166.6715	1
E0402T068	320	168.6251	1
E0402T069	325	168.7068	1
E0402T070	330	167.1853	1
E0402T071	335	166.1228	1
E0402T072	340	168.4354	1
E0402T073	345	169.0146	1
E0402T074	350	169.0524	1
E0402T075	355	170.4145	1
E0402T076	360	166.7605	1
E0402T077	365	167.7205	1
E0402T078	370	167.7904	1
E0402T079	375	170.7575	1
E0402T080	380	170.8412	1
E0402T081	385	169.7885	1
E0402T082	390	169.5659	1
E0402T083	395	168.5151	1
E0402T084	400	170.1883	1
E0402T085	405	170.3548	1
E0402T086	410	168.8048	1
E0402T087	415	170.1857	1
E0402T088	420	169.7726	1
E0402T089	425	168.7747	1
E0402T090	430	170.7966	1
E0402T091	435	169.5851	1
E0402T092	440	170.1898	1
E0402T093	445	169.0929	1
E0402T094	450	169.2419	1
E0402T095	455	171.6445	1
E0402T096	460	169.8988	1
E0402T097	465	168.6780	1
E0402T098	470	170.1452	1
E0402T099	475	170.6334	1
E0402T100	480	168.6535	1
E0402T101	485	172.1442	1
E0402T102	490	171.1176	1
E0402T103	495	170.0749	1
E0402T104	500	171.2324	1
E0402T105	505	171.0863	1
E0402T106	510	171.3474	1
E0402T107	515	170.5929	1
E0402T108	520	168.9560	1
E0402T109	525	171.0336	1
E0402T110	530	170.8621	1
E0402T111	535	171.6554	1
E0402T112	540	170.8342	1
E0402T113	545	170.6641	1
E0402T114	550	172.7907	1
E0402T115	555	171.8264	1
E0402T116	560	171.3597	1
E0402T117	565	170.6004	1
E0402T118	570	171.2348	1
E0402T119	575	171.0574	1
E0402T120	580	170.7813	1
E0402T121	585	171.1206	1
E0402T122	590	172.6544	1
E0402T123	595	171.3161	1
E0402T124	600	171.6008	1
E0402T125	605	170.4882	1
