!!SBtab Document='AKAP79' Version='1.0' TableName='EX33__200nM_FALSE__FALSE' TableType='QuantityMatrix'
!TimePoint	!Time	>AKAR4pOUT	~AKAR4pOUT
E0401T001	-15	108.1747	0.01
E0401T002	-10	110.7672	0.01
E0401T003	 -5	113.2544	0.01
E0401T004	  0	115.6402	0.01
E0401T005	  5	117.9288	0.01
E0401T006	 10	120.1240	0.01
E0401T007	 15	122.2297	0.01
E0401T008	 20	124.2495	0.01
E0401T009	 25	126.1872	0.01
E0401T010	 30	128.0459	0.01
E0401T011	 35	129.8290	0.01
E0401T012	 40	131.5396	0.01
E0401T013	 45	133.1806	0.01
E0401T014	 50	134.7549	0.01
E0401T015	 55	136.2652	0.01
E0401T016	 60	137.7141	0.01
E0401T017	 65	139.1043	0.01
E0401T018	 70	140.4381	0.01
E0401T019	 75	141.7179	0.01
E0401T020	 80	142.9460	0.01
E0401T021	 85	144.1229	0.01
E0401T022	 90	145.2541	0.01
E0401T023	 95	146.3386	0.01
E0401T024	100	147.3799	0.01
E0401T025	105	148.3810	0.01
E0401T026	110	149.3428	0.01
E0401T027	115	150.2663	0.01
E0401T028	120	151.1546	0.01
E0401T029	125	152.0079	0.01
E0401T030	130	152.8288	0.01
E0401T031	135	153.6187	0.01
E0401T032	140	154.3778	0.01
E0401T033	145	155.1066	0.01
E0401T034	150	155.8058	0.01
E0401T035	155	156.4761	0.01
E0401T036	160	157.1184	0.01
E0401T037	165	157.7338	0.01
E0401T038	170	158.3205	0.01
E0401T039	175	158.8823	0.01
E0401T040	180	159.4204	0.01
E0401T041	185	159.9381	0.01
E0401T042	190	160.4343	0.01
E0401T043	195	160.9097	0.01
E0401T044	200	161.3651	0.01
E0401T045	205	161.8012	0.01
E0401T046	210	162.2187	0.01
E0401T047	215	162.6185	0.01
E0401T048	220	163.0013	0.01
E0401T049	225	163.3679	0.01
E0401T050	230	163.7190	0.01
E0401T051	235	164.0553	0.01
E0401T052	240	164.3774	0.01
E0401T053	245	164.6858	0.01
E0401T054	250	164.9812	0.01
E0401T055	255	165.2641	0.01
E0401T056	260	165.5350	0.01
E0401T057	265	165.7945	0.01
E0401T058	270	166.0430	0.01
E0401T059	275	166.2810	0.01
E0401T060	280	166.5089	0.01
E0401T061	285	166.7272	0.01
E0401T062	290	166.9363	0.01
E0401T063	295	167.1365	0.01
E0401T064	300	167.3282	0.01
E0401T065	305	167.5119	0.01
E0401T066	310	167.6877	0.01
E0401T067	315	167.8562	0.01
E0401T068	320	168.0175	0.01
E0401T069	325	168.1720	0.01
E0401T070	330	168.3199	0.01
E0401T071	335	168.4616	0.01
E0401T072	340	168.5973	0.01
E0401T073	345	168.7273	0.01
E0401T074	350	168.8517	0.01
E0401T075	355	168.9709	0.01
E0401T076	360	169.0851	0.01
E0401T077	365	169.1944	0.01
E0401T078	370	169.2991	0.01
E0401T079	375	169.3994	0.01
E0401T080	380	169.4954	0.01
E0401T081	385	169.5874	0.01
E0401T082	390	169.6755	0.01
E0401T083	395	169.7598	0.01
E0401T084	400	169.8406	0.01
E0401T085	405	169.9180	0.01
E0401T086	410	169.9921	0.01
E0401T087	415	170.0631	0.01
E0401T088	420	170.1310	0.01
E0401T089	425	170.1961	0.01
E0401T090	430	170.2585	0.01
E0401T091	435	170.3182	0.01
E0401T092	440	170.3753	0.01
E0401T093	445	170.4301	0.01
E0401T094	450	170.4825	0.01
E0401T095	455	170.5328	0.01
E0401T096	460	170.5809	0.01
E0401T097	465	170.6269	0.01
E0401T098	470	170.6710	0.01
E0401T099	475	170.7133	0.01
E0401T100	480	170.7538	0.01
E0401T101	485	170.7925	0.01
E0401T102	490	170.8296	0.01
E0401T103	495	170.8652	0.01
E0401T104	500	170.8992	0.01
E0401T105	505	170.9318	0.01
E0401T106	510	170.9630	0.01
E0401T107	515	170.9929	0.01
E0401T108	520	171.0216	0.01
E0401T109	525	171.0490	0.01
E0401T110	530	171.0753	0.01
E0401T111	535	171.1004	0.01
E0401T112	540	171.1245	0.01
E0401T113	545	171.1476	0.01
E0401T114	550	171.1697	0.01
E0401T115	555	171.1908	0.01
E0401T116	560	171.2111	0.01
E0401T117	565	171.2305	0.01
E0401T118	570	171.2491	0.01
E0401T119	575	171.2669	0.01
E0401T120	580	171.2840	0.01
E0401T121	585	171.3003	0.01
E0401T122	590	171.3159	0.01
E0401T123	595	171.3309	0.01
E0401T124	600	171.3452	0.01
E0401T125	605	171.3590	0.01
