!!SBtab Document='AKAP79' Version='1.0' TableName='EX51_1000nM__TRUE___TRUE' TableType='QuantityMatrix'
!TimePoint	!Time	>AKAR4pOUT	~AKAR4pOUT
E0603T001	-15	103.5541	0.01
E0603T002	-10	104.3327	0.01
E0603T003	 -5	105.1023	0.01
E0603T004	  0	105.8621	0.01
E0603T005	  5	106.6131	0.01
E0603T006	 10	107.3561	0.01
E0603T007	 15	108.0900	0.01
E0603T008	 20	108.8157	0.01
E0603T009	 25	109.5331	0.01
E0603T010	 30	110.2430	0.01
E0603T011	 35	110.9450	0.01
E0603T012	 40	111.6389	0.01
E0603T013	 45	112.3250	0.01
E0603T014	 50	113.0032	0.01
E0603T015	 55	113.6737	0.01
E0603T016	 60	114.3365	0.01
E0603T017	 65	114.9917	0.01
E0603T018	 70	115.6394	0.01
E0603T019	 75	116.2797	0.01
E0603T020	 80	116.9127	0.01
E0603T021	 85	117.5384	0.01
E0603T022	 90	118.1571	0.01
E0603T023	 95	118.7686	0.01
E0603T024	100	119.3731	0.01
E0603T025	105	119.9708	0.01
E0603T026	110	120.5616	0.01
E0603T027	115	121.1457	0.01
E0603T028	120	121.7231	0.01
E0603T029	125	122.2939	0.01
E0603T030	130	122.8581	0.01
E0603T031	135	123.4159	0.01
E0603T032	140	123.9674	0.01
E0603T033	145	124.5125	0.01
E0603T034	150	125.0514	0.01
E0603T035	155	125.5842	0.01
E0603T036	160	126.1109	0.01
E0603T037	165	126.6315	0.01
E0603T038	170	127.1462	0.01
E0603T039	175	127.6550	0.01
E0603T040	180	128.1580	0.01
E0603T041	185	128.6553	0.01
E0603T042	190	129.1468	0.01
E0603T043	195	129.6328	0.01
E0603T044	200	130.1132	0.01
E0603T045	205	130.5881	0.01
E0603T046	210	131.0576	0.01
E0603T047	215	131.5217	0.01
E0603T048	220	131.9805	0.01
E0603T049	225	132.4341	0.01
E0603T050	230	132.8825	0.01
E0603T051	235	133.3257	0.01
E0603T052	240	133.7639	0.01
E0603T053	245	134.1971	0.01
E0603T054	250	134.6254	0.01
E0603T055	255	135.0487	0.01
E0603T056	260	135.4672	0.01
E0603T057	265	135.8809	0.01
E0603T058	270	136.2899	0.01
E0603T059	275	136.6943	0.01
E0603T060	280	137.0940	0.01
E0603T061	285	137.4891	0.01
E0603T062	290	137.8797	0.01
E0603T063	295	138.2659	0.01
E0603T064	300	138.6476	0.01
E0603T065	305	139.0250	0.01
E0603T066	310	139.3981	0.01
E0603T067	315	139.7669	0.01
E0603T068	320	140.1315	0.01
E0603T069	325	140.4919	0.01
E0603T070	330	140.8482	0.01
E0603T071	335	141.2004	0.01
E0603T072	340	141.5486	0.01
E0603T073	345	141.8928	0.01
E0603T074	350	142.2331	0.01
E0603T075	355	142.5695	0.01
E0603T076	360	142.9021	0.01
E0603T077	365	143.2309	0.01
E0603T078	370	143.5559	0.01
E0603T079	375	143.8772	0.01
E0603T080	380	144.1948	0.01
E0603T081	385	144.5088	0.01
E0603T082	390	144.8192	0.01
E0603T083	395	145.1260	0.01
E0603T084	400	145.4294	0.01
E0603T085	405	145.7292	0.01
E0603T086	410	146.0257	0.01
E0603T087	415	146.3187	0.01
E0603T088	420	146.6085	0.01
E0603T089	425	146.8949	0.01
E0603T090	430	147.1780	0.01
E0603T091	435	147.4579	0.01
E0603T092	440	147.7346	0.01
E0603T093	445	148.0081	0.01
E0603T094	450	148.2785	0.01
E0603T095	455	148.5458	0.01
E0603T096	460	148.8101	0.01
E0603T097	465	149.0714	0.01
E0603T098	470	149.3296	0.01
E0603T099	475	149.5849	0.01
E0603T100	480	149.8373	0.01
E0603T101	485	150.0868	0.01
E0603T102	490	150.3335	0.01
E0603T103	495	150.5773	0.01
E0603T104	500	150.8183	0.01
E0603T105	505	151.0566	0.01
E0603T106	510	151.2922	0.01
E0603T107	515	151.5251	0.01
E0603T108	520	151.7553	0.01
E0603T109	525	151.9829	0.01
E0603T110	530	152.2079	0.01
E0603T111	535	152.4303	0.01
E0603T112	540	152.6502	0.01
E0603T113	545	152.8675	0.01
E0603T114	550	153.0824	0.01
E0603T115	555	153.2948	0.01
E0603T116	560	153.5048	0.01
E0603T117	565	153.7124	0.01
E0603T118	570	153.9176	0.01
E0603T119	575	154.1205	0.01
E0603T120	580	154.3211	0.01
E0603T121	585	154.5193	0.01
E0603T122	590	154.7153	0.01
E0603T123	595	154.9091	0.01
E0603T124	600	155.1006	0.01
E0603T125	605	155.2900	0.01
