!!SBtab Document='AKAP79' Version='1.0' TableName='EX52_1000nM__TRUE__FALSE' TableType='QuantityMatrix'
!TimePoint	!Time	>AKAR4pOUT	~AKAR4pOUT
E0602T001	-15	108.7961	1
E0602T002	-10	110.9268	1
E0602T003	 -5	113.9071	1
E0602T004	  0	115.3815	1
E0602T005	  5	117.2244	1
E0602T006	 10	119.4272	1
E0602T007	 15	120.6756	1
E0602T008	 20	124.2306	1
E0602T009	 25	125.1717	1
E0602T010	 30	127.3201	1
E0602T011	 35	129.7387	1
E0602T012	 40	131.3386	1
E0602T013	 45	132.5127	1
E0602T014	 50	133.7461	1
E0602T015	 55	135.9834	1
E0602T016	 60	136.8820	1
E0602T017	 65	138.2755	1
E0602T018	 70	140.1497	1
E0602T019	 75	142.3131	1
E0602T020	 80	141.6302	1
E0602T021	 85	144.6039	1
E0602T022	 90	142.4715	1
E0602T023	 95	146.2505	1
E0602T024	100	147.2933	1
E0602T025	105	149.0788	1
E0602T026	110	149.0238	1
E0602T027	115	150.1401	1
E0602T028	120	149.1016	1
E0602T029	125	151.4586	1
E0602T030	130	151.9544	1
E0602T031	135	154.3417	1
E0602T032	140	153.3857	1
E0602T033	145	153.5881	1
E0602T034	150	155.4829	1
E0602T035	155	156.2841	1
E0602T036	160	157.0839	1
E0602T037	165	155.8272	1
E0602T038	170	159.9900	1
E0602T039	175	158.7568	1
E0602T040	180	160.3871	1
E0602T041	185	157.2101	1
E0602T042	190	160.1676	1
E0602T043	195	160.5471	1
E0602T044	200	160.4814	1
E0602T045	205	161.3675	1
E0602T046	210	161.9241	1
E0602T047	215	161.6688	1
E0602T048	220	162.4970	1
E0602T049	225	162.6798	1
E0602T050	230	164.5314	1
E0602T051	235	164.8428	1
E0602T052	240	163.7125	1
E0602T053	245	165.0422	1
E0602T054	250	163.8365	1
E0602T055	255	165.3302	1
E0602T056	260	165.3268	1
E0602T057	265	165.0133	1
E0602T058	270	163.4051	1
E0602T059	275	165.5371	1
E0602T060	280	166.9859	1
E0602T061	285	167.1085	1
E0602T062	290	166.4322	1
E0602T063	295	165.6829	1
E0602T064	300	166.7446	1
E0602T065	305	165.8895	1
E0602T066	310	166.5784	1
E0602T067	315	166.6535	1
E0602T068	320	167.8766	1
E0602T069	325	168.7766	1
E0602T070	330	168.1913	1
E0602T071	335	168.6635	1
E0602T072	340	167.3199	1
E0602T073	345	168.6970	1
E0602T074	350	168.1572	1
E0602T075	355	167.4463	1
E0602T076	360	167.4185	1
E0602T077	365	170.4982	1
E0602T078	370	170.1484	1
E0602T079	375	168.7132	1
E0602T080	380	168.6763	1
E0602T081	385	168.1577	1
E0602T082	390	167.8705	1
E0602T083	395	167.6227	1
E0602T084	400	167.9281	1
E0602T085	405	170.3664	1
E0602T086	410	168.8740	1
E0602T087	415	168.9678	1
E0602T088	420	169.6945	1
E0602T089	425	170.0028	1
E0602T090	430	169.1505	1
E0602T091	435	170.3885	1
E0602T092	440	170.4996	1
E0602T093	445	171.3670	1
E0602T094	450	169.9401	1
E0602T095	455	172.5534	1
E0602T096	460	170.2957	1
E0602T097	465	170.6823	1
E0602T098	470	171.4127	1
E0602T099	475	168.6098	1
E0602T100	480	171.5540	1
E0602T101	485	171.5965	1
E0602T102	490	170.3950	1
E0602T103	495	171.8992	1
E0602T104	500	170.6376	1
E0602T105	505	170.3313	1
E0602T106	510	171.9394	1
E0602T107	515	170.6846	1
E0602T108	520	171.6207	1
E0602T109	525	170.0399	1
E0602T110	530	170.6378	1
E0602T111	535	172.3309	1
E0602T112	540	172.9384	1
E0602T113	545	170.0015	1
E0602T114	550	169.5853	1
E0602T115	555	173.0513	1
E0602T116	560	170.4398	1
E0602T117	565	170.7836	1
E0602T118	570	170.6524	1
E0602T119	575	171.1726	1
E0602T120	580	171.2884	1
E0602T121	585	171.8984	1
E0602T122	590	169.9684	1
E0602T123	595	170.5011	1
E0602T124	600	171.6115	1
E0602T125	605	171.6321	1
