!!SBtab Document='AKAP79' Version='1.0' TableName='EX53_1000nM_FALSE__FALSE' TableType='QuantityMatrix'
!TimePoint	!Time	>AKAR4pOUT	~AKAR4pOUT
E0601T001	-15	112.0484	1
E0601T002	-10	114.7344	1
E0601T003	 -5	117.2171	1
E0601T004	  0	119.5457	1
E0601T005	  5	121.7480	1
E0601T006	 10	123.8411	1
E0601T007	 15	125.8367	1
E0601T008	 20	127.7429	1
E0601T009	 25	129.5661	1
E0601T010	 30	131.3113	1
E0601T011	 35	132.9831	1
E0601T012	 40	134.5848	1
E0601T013	 45	136.1195	1
E0601T014	 50	137.5877	1
E0601T015	 55	138.9975	1
E0601T016	 60	140.3492	1
E0601T017	 65	141.6429	1
E0601T018	 70	142.8847	1
E0601T019	 75	144.0756	1
E0601T020	 80	145.2173	1
E0601T021	 85	146.3117	1
E0601T022	 90	147.3606	1
E0601T023	 95	148.3659	1
E0601T024	100	149.3295	1
E0601T025	105	150.2532	1
E0601T026	110	151.1388	1
E0601T027	115	151.9877	1
E0601T028	120	152.8016	1
E0601T029	125	153.5818	1
E0601T030	130	154.3297	1
E0601T031	135	155.0468	1
E0601T032	140	155.7341	1
E0601T033	145	156.3931	1
E0601T034	150	157.0248	1
E0601T035	155	157.6304	1
E0601T036	160	158.2109	1
E0601T037	165	158.7675	1
E0601T038	170	159.3010	1
E0601T039	175	159.8124	1
E0601T040	180	160.3028	1
E0601T041	185	160.7728	1
E0601T042	190	161.2234	1
E0601T043	195	161.6554	1
E0601T044	200	162.0695	1
E0601T045	205	162.4665	1
E0601T046	210	162.8470	1
E0601T047	215	163.2119	1
E0601T048	220	163.5616	1
E0601T049	225	163.8969	1
E0601T050	230	164.2183	1
E0601T051	235	164.5265	1
E0601T052	240	164.8219	1
E0601T053	245	165.1050	1
E0601T054	250	165.3765	1
E0601T055	255	165.6367	1
E0601T056	260	165.8862	1
E0601T057	265	166.1254	1
E0601T058	270	166.3547	1
E0601T059	275	166.5744	1
E0601T060	280	166.7851	1
E0601T061	285	166.9871	1
E0601T062	290	167.1808	1
E0601T063	295	167.3664	1
E0601T064	300	167.5444	1
E0601T065	305	167.7150	1
E0601T066	310	167.8785	1
E0601T067	315	168.0353	1
E0601T068	320	168.1856	1
E0601T069	325	168.3297	1
E0601T070	330	168.4678	1
E0601T071	335	168.6002	1
E0601T072	340	168.7271	1
E0601T073	345	168.8488	1
E0601T074	350	168.9655	1
E0601T075	355	169.0773	1
E0601T076	360	169.1845	1
E0601T077	365	169.2873	1
E0601T078	370	169.3858	1
E0601T079	375	169.4803	1
E0601T080	380	169.5708	1
E0601T081	385	169.6576	1
E0601T082	390	169.7408	1
E0601T083	395	169.8206	1
E0601T084	400	169.8971	1
E0601T085	405	169.9704	1
E0601T086	410	170.0407	1
E0601T087	415	170.1081	1
E0601T088	420	170.1726	1
E0601T089	425	170.2346	1
E0601T090	430	170.2939	1
E0601T091	435	170.3508	1
E0601T092	440	170.4054	1
E0601T093	445	170.4577	1
E0601T094	450	170.5078	1
E0601T095	455	170.5558	1
E0601T096	460	170.6019	1
E0601T097	465	170.6461	1
E0601T098	470	170.6884	1
E0601T099	475	170.7290	1
E0601T100	480	170.7679	1
E0601T101	485	170.8052	1
E0601T102	490	170.8410	1
E0601T103	495	170.8753	1
E0601T104	500	170.9081	1
E0601T105	505	170.9396	1
E0601T106	510	170.9698	1
E0601T107	515	170.9988	1
E0601T108	520	171.0265	1
E0601T109	525	171.0531	1
E0601T110	530	171.0787	1
E0601T111	535	171.1031	1
E0601T112	540	171.1265	1
E0601T113	545	171.1490	1
E0601T114	550	171.1706	1
E0601T115	555	171.1912	1
E0601T116	560	171.2110	1
E0601T117	565	171.2300	1
E0601T118	570	171.2482	1
E0601T119	575	171.2656	1
E0601T120	580	171.2824	1
E0601T121	585	171.2984	1
E0601T122	590	171.3137	1
E0601T123	595	171.3285	1
E0601T124	600	171.3426	1
E0601T125	605	171.3561	1
