!!SBtab Document='AKAP79' Version='1.0' TableName='EX61_2000nM__TRUE___TRUE' TableType='QuantityMatrix'			
!TimePoint	!Time	>AKAR4pOUT	~AKAR4pOUT
E0303T001	-15	 99.79108	1
E0303T002	-10	101.53297	1
E0303T003	 -5	102.61730	1
E0303T004	  0	104.13567	1
E0303T005	  5	102.14965	1
E0303T006	 10	103.69426	1
E0303T007	 15	102.62354	1
E0303T008	 20	102.58517	1
E0303T009	 25	101.64172	1
E0303T010	 30	104.23591	1
E0303T011	 35	103.31027	1
E0303T012	 40	104.74446	1
E0303T013	 45	105.88711	1
E0303T014	 50	105.69610	1
E0303T015	 55	106.12516	1
E0303T016	 60	105.54790	1
E0303T017	 65	104.57520	1
E0303T018	 70	105.49148	1
E0303T019	 75	105.75357	1
E0303T020	 80	107.54037	1
E0303T021	 85	106.29973	1
E0303T022	 90	105.14347	1
E0303T023	 95	107.80772	1
E0303T024	100	107.55043	1
E0303T025	105	109.80084	1
E0303T026	110	107.00418	1
E0303T027	115	108.86766	1
E0303T028	120	107.74241	1
E0303T029	125	108.31227	1
E0303T030	130	107.27008	1
E0303T031	135	110.84829	1
E0303T032	140	106.12372	1
E0303T033	145	107.81171	1
E0303T034	150	109.62728	1
E0303T035	155	108.45594	1
E0303T036	160	110.83134	1
E0303T037	165	109.58749	1
E0303T038	170	109.06482	1
E0303T039	175	110.53332	1
E0303T040	180	109.28666	1
E0303T041	185	111.10869	1
E0303T042	190	112.85320	1
E0303T043	195	113.09784	1
E0303T044	200	111.54359	1
E0303T045	205	109.30877	1
E0303T046	210	109.61419	1
E0303T047	215	113.58964	1
E0303T048	220	114.51684	1
E0303T049	225	112.95676	1
E0303T050	230	112.55955	1
E0303T051	235	112.60315	1
E0303T052	240	115.22078	1
E0303T053	245	113.27213	1
E0303T054	250	111.53429	1
E0303T055	255	114.07297	1
E0303T056	260	112.64436	1
E0303T057	265	111.54445	1
E0303T058	270	112.23088	1
E0303T059	275	114.55606	1
E0303T060	280	113.96314	1
E0303T061	285	116.55281	1
E0303T062	290	114.08205	1
E0303T063	295	115.21146	1
E0303T064	300	115.78242	1
E0303T065	305	114.14150	1
E0303T066	310	114.82346	1
E0303T067	315	116.22355	1
E0303T068	320	115.65154	1
E0303T069	325	115.81828	1
E0303T070	330	116.17830	1
E0303T071	335	117.90239	1
E0303T072	340	116.60747	1
E0303T073	345	114.92920	1
E0303T074	350	116.66552	1
E0303T075	355	119.34620	1
E0303T076	360	118.54754	1
E0303T077	365	117.06252	1
E0303T078	370	118.29493	1
E0303T079	375	119.67455	1
E0303T080	380	118.76422	1
E0303T081	385	119.74694	1
E0303T082	390	117.19408	1
E0303T083	395	119.32051	1
E0303T084	400	119.45913	1
E0303T085	405	121.17763	1
E0303T086	410	120.09354	1
E0303T087	415	118.52964	1
E0303T088	420	117.94273	1
E0303T089	425	118.95780	1
E0303T090	430	120.93585	1
E0303T091	435	121.69983	1
E0303T092	440	121.81811	1
E0303T093	445	120.09260	1
E0303T094	450	119.47837	1
E0303T095	455	122.22114	1
E0303T096	460	122.07930	1
E0303T097	465	121.55552	1
E0303T098	470	122.68762	1
E0303T099	475	122.90245	1
E0303T100	480	122.36471	1
E0303T101	485	123.89979	1
E0303T102	490	123.15142	1
E0303T103	495	122.50527	1
E0303T104	500	121.36621	1
E0303T105	505	122.36900	1
E0303T106	510	120.65426	1
E0303T107	515	122.08717	1
E0303T108	520	122.57378	1
E0303T109	525	124.04565	1
E0303T110	530	123.33343	1
E0303T111	535	124.13832	1
E0303T112	540	124.65042	1
E0303T113	545	125.97303	1
E0303T114	550	125.61857	1
E0303T115	555	124.77569	1
E0303T116	560	124.70246	1
E0303T117	565	126.04081	1
E0303T118	570	126.92459	1
E0303T119	575	125.73752	1
E0303T120	580	124.54639	1
E0303T121	585	126.83750	1
E0303T122	590	126.82423	1
E0303T123	595	125.85556	1
E0303T124	600	126.25230	1
E0303T125	605	124.49712	1
