!!SBtab Document='AKAP79' Version='1.0' TableName='EX62_2000nM__TRUE__FALSE' TableType='QuantityMatrix'			
!TimePoint	!Time	>AKAR4pOUT	~AKAR4pOUT
E0302T001	-15	107.6829	1
E0302T002	-10	109.4660	1
E0302T003	 -5	113.5778	1
E0302T004	  0	112.4665	1
E0302T005	  5	116.9313	1
E0302T006	 10	119.3599	1
E0302T007	 15	122.3150	1
E0302T008	 20	122.0904	1
E0302T009	 25	127.5401	1
E0302T010	 30	128.8259	1
E0302T011	 35	130.1937	1
E0302T012	 40	131.6868	1
E0302T013	 45	132.7236	1
E0302T014	 50	135.4637	1
E0302T015	 55	137.7290	1
E0302T016	 60	139.3745	1
E0302T017	 65	140.1293	1
E0302T018	 70	140.8887	1
E0302T019	 75	143.6866	1
E0302T020	 80	143.6096	1
E0302T021	 85	145.8232	1
E0302T022	 90	145.8863	1
E0302T023	 95	148.6075	1
E0302T024	100	149.1785	1
E0302T025	105	150.1136	1
E0302T026	110	152.0383	1
E0302T027	115	152.2320	1
E0302T028	120	153.3159	1
E0302T029	125	153.0315	1
E0302T030	130	156.5863	1
E0302T031	135	155.8057	1
E0302T032	140	155.9051	1
E0302T033	145	159.1765	1
E0302T034	150	158.6211	1
E0302T035	155	158.5078	1
E0302T036	160	158.9047	1
E0302T037	165	159.7809	1
E0302T038	170	158.9665	1
E0302T039	175	161.6998	1
E0302T040	180	162.4418	1
E0302T041	185	160.7382	1
E0302T042	190	162.1158	1
E0302T043	195	162.4223	1
E0302T044	200	162.7308	1
E0302T045	205	162.9839	1
E0302T046	210	162.7537	1
E0302T047	215	162.9739	1
E0302T048	220	163.6605	1
E0302T049	225	166.1432	1
E0302T050	230	165.1629	1
E0302T051	235	165.7839	1
E0302T052	240	165.4633	1
E0302T053	245	167.2107	1
E0302T054	250	167.4580	1
E0302T055	255	165.6750	1
E0302T056	260	166.7268	1
E0302T057	265	166.8002	1
E0302T058	270	166.9583	1
E0302T059	275	167.3298	1
E0302T060	280	167.4288	1
E0302T061	285	166.3794	1
E0302T062	290	167.6085	1
E0302T063	295	167.3782	1
E0302T064	300	167.4869	1
E0302T065	305	166.0748	1
E0302T066	310	170.8806	1
E0302T067	315	167.9993	1
E0302T068	320	169.0718	1
E0302T069	325	170.2143	1
E0302T070	330	169.4255	1
E0302T071	335	169.8977	1
E0302T072	340	169.5804	1
E0302T073	345	167.6787	1
E0302T074	350	169.7274	1
E0302T075	355	170.2364	1
E0302T076	360	169.1752	1
E0302T077	365	171.4346	1
E0302T078	370	170.5800	1
E0302T079	375	171.0852	1
E0302T080	380	170.4183	1
E0302T081	385	169.9794	1
E0302T082	390	171.4043	1
E0302T083	395	168.4827	1
E0302T084	400	169.3806	1
E0302T085	405	170.1061	1
E0302T086	410	168.8912	1
E0302T087	415	171.0433	1
E0302T088	420	171.1594	1
E0302T089	425	169.4988	1
E0302T090	430	169.6859	1
E0302T091	435	171.5220	1
E0302T092	440	170.2155	1
E0302T093	445	171.0035	1
E0302T094	450	169.9332	1
E0302T095	455	170.4979	1
E0302T096	460	171.3494	1
E0302T097	465	170.4255	1
E0302T098	470	170.5989	1
E0302T099	475	170.9909	1
E0302T100	480	170.5720	1
E0302T101	485	169.2134	1
E0302T102	490	171.4693	1
E0302T103	495	172.3368	1
E0302T104	500	171.8629	1
E0302T105	505	171.0922	1
E0302T106	510	171.0684	1
E0302T107	515	171.0165	1
E0302T108	520	170.5672	1
E0302T109	525	170.6288	1
E0302T110	530	171.7779	1
E0302T111	535	171.8939	1
E0302T112	540	170.0073	1
E0302T113	545	173.2052	1
E0302T114	550	171.6977	1
E0302T115	555	170.8573	1
E0302T116	560	173.2746	1
E0302T117	565	170.1202	1
E0302T118	570	169.3917	1
E0302T119	575	170.7641	1
E0302T120	580	172.7865	1
E0302T121	585	171.5527	1
E0302T122	590	170.2948	1
E0302T123	595	172.6262	1
E0302T124	600	170.3382	1
E0302T125	605	169.9523	1
