!!SBtab Document='AKAP79' Version='1.0' TableName='EX63_2000nM_FALSE__FALSE' TableType='QuantityMatrix'			
!TimePoint	!Time	>AKAR4pOUT	~AKAR4pOUT
E0301T001	-15	108.2644	0.01
E0301T002	-10	110.6828	0.01
E0301T003	 -5	113.5455	0.01
E0301T004	  0	116.5847	0.01
E0301T005	  5	119.4793	0.01
E0301T006	 10	122.2235	0.01
E0301T007	 15	124.8238	0.01
E0301T008	 20	127.2875	0.01
E0301T009	 25	129.6217	0.01
E0301T010	 30	131.8330	0.01
E0301T011	 35	133.9281	0.01
E0301T012	 40	135.9131	0.01
E0301T013	 45	137.7917	0.01
E0301T014	 50	139.5732	0.01
E0301T015	 55	141.2620	0.01
E0301T016	 60	142.8615	0.01
E0301T017	 65	144.3744	0.01
E0301T018	 70	145.8069	0.01
E0301T019	 75	147.1669	0.01
E0301T020	 80	148.4559	0.01
E0301T021	 85	149.6744	0.01
E0301T022	 90	150.8311	0.01
E0301T023	 95	151.9275	0.01
E0301T024	100	152.9664	0.01
E0301T025	105	153.9508	0.01
E0301T026	110	154.8828	0.01
E0301T027	115	155.7655	0.01
E0301T028	120	156.6017	0.01
E0301T029	125	157.3939	0.01
E0301T030	130	158.1444	0.01
E0301T031	135	158.8555	0.01
E0301T032	140	159.5293	0.01
E0301T033	145	160.1676	0.01
E0301T034	150	160.7724	0.01
E0301T035	155	161.3454	0.01
E0301T036	160	161.8882	0.01
E0301T037	165	162.4025	0.01
E0301T038	170	162.8898	0.01
E0301T039	175	163.3514	0.01
E0301T040	180	163.7888	0.01
E0301T041	185	164.2032	0.01
E0301T042	190	164.5958	0.01
E0301T043	195	164.9677	0.01
E0301T044	200	165.3201	0.01
E0301T045	205	165.6540	0.01
E0301T046	210	165.9703	0.01
E0301T047	215	166.2700	0.01
E0301T048	220	166.5539	0.01
E0301T049	225	166.8229	0.01
E0301T050	230	167.0777	0.01
E0301T051	235	167.3192	0.01
E0301T052	240	167.5479	0.01
E0301T053	245	167.7647	0.01
E0301T054	250	167.9700	0.01
E0301T055	255	168.1645	0.01
E0301T056	260	168.3488	0.01
E0301T057	265	168.5235	0.01
E0301T058	270	168.6889	0.01
E0301T059	275	168.8456	0.01
E0301T060	280	168.9941	0.01
E0301T061	285	169.1348	0.01
E0301T062	290	169.2681	0.01
E0301T063	295	169.3944	0.01
E0301T064	300	169.5141	0.01
E0301T065	305	169.6274	0.01
E0301T066	310	169.7348	0.01
E0301T067	315	169.8366	0.01
E0301T068	320	169.9329	0.01
E0301T069	325	170.0243	0.01
E0301T070	330	170.1108	0.01
E0301T071	335	170.1928	0.01
E0301T072	340	170.2705	0.01
E0301T073	345	170.3440	0.01
E0301T074	350	170.4138	0.01
E0301T075	355	170.4798	0.01
E0301T076	360	170.5424	0.01
E0301T077	365	170.6017	0.01
E0301T078	370	170.6578	0.01
E0301T079	375	170.7111	0.01
E0301T080	380	170.7615	0.01
E0301T081	385	170.8092	0.01
E0301T082	390	170.8545	0.01
E0301T083	395	170.8974	0.01
E0301T084	400	170.9380	0.01
E0301T085	405	170.9765	0.01
E0301T086	410	171.0130	0.01
E0301T087	415	171.0475	0.01
E0301T088	420	171.0802	0.01
E0301T089	425	171.1112	0.01
E0301T090	430	171.1406	0.01
E0301T091	435	171.1685	0.01
E0301T092	440	171.1948	0.01
E0301T093	445	171.2198	0.01
E0301T094	450	171.2435	0.01
E0301T095	455	171.2659	0.01
E0301T096	460	171.2871	0.01
E0301T097	465	171.3073	0.01
E0301T098	470	171.3263	0.01
E0301T099	475	171.3444	0.01
E0301T100	480	171.3615	0.01
E0301T101	485	171.3778	0.01
E0301T102	490	171.3931	0.01
E0301T103	495	171.4077	0.01
E0301T104	500	171.4215	0.01
E0301T105	505	171.4345	0.01
E0301T106	510	171.4469	0.01
E0301T107	515	171.4586	0.01
E0301T108	520	171.4698	0.01
E0301T109	525	171.4803	0.01
E0301T110	530	171.4903	0.01
E0301T111	535	171.4997	0.01
E0301T112	540	171.5087	0.01
E0301T113	545	171.5171	0.01
E0301T114	550	171.5252	0.01
E0301T115	555	171.5328	0.01
E0301T116	560	171.5400	0.01
E0301T117	565	171.5468	0.01
E0301T118	570	171.5533	0.01
E0301T119	575	171.5595	0.01
E0301T120	580	171.5653	0.01
E0301T121	585	171.5708	0.01
E0301T122	590	171.5760	0.01
E0301T123	595	171.5809	0.01
E0301T124	600	171.5856	0.01
E0301T125	605	171.5901	0.01
